mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
28.844,0.6509999999999999,1.281,0.134,0.754,0.057999999999999996,2.227,112.04899999999999,0.0
31.025,0.78,0.519,0.09699999999999999,0.532,0.057,1.205,115.333,0.0
30.697,0.804,0.40399999999999997,0.086,0.48700000000000004,0.051,1.028,112.334,0.0
30.348000000000003,0.825,0.358,0.079,0.43,0.059000000000000004,0.9259999999999999,114.271,0.0
30.266,0.8340000000000001,0.33799999999999997,0.07200000000000001,0.395,0.057,0.862,113.325,0.0
30.194000000000003,0.856,0.306,0.069,0.374,0.055,0.8029999999999999,113.075,0.0
30.349,0.857,0.29600000000000004,0.063,0.35200000000000004,0.05,0.7609999999999999,113.8,0.0
30.307,0.863,0.301,0.061,0.34600000000000003,0.063,0.7709999999999999,113.79899999999999,0.0
30.18,0.8759999999999999,0.27899999999999997,0.057,0.332,0.059000000000000004,0.727,113.323,0.0
30.487,0.872,0.273,0.055,0.32299999999999995,0.059000000000000004,0.711,112.70200000000001,0.0
30.127,0.882,0.254,0.053,0.299,0.055,0.662,112.803,0.0
29.266,0.8690000000000001,0.168,0.051,0.32899999999999996,0.063,0.611,113.06700000000001,0.0
29.616999999999997,0.8859999999999999,0.151,0.05,0.309,0.051,0.56,111.637,0.0
29.456999999999997,0.889,0.149,0.049,0.28600000000000003,0.051,0.535,113.383,0.0
29.788,0.892,0.134,0.046,0.28800000000000003,0.059000000000000004,0.527,114.053,0.0
29.947,0.892,0.135,0.047,0.29100000000000004,0.055999999999999994,0.529,114.82,0.0
30.164,0.8959999999999999,0.12300000000000001,0.044000000000000004,0.282,0.054000000000000006,0.504,114.87700000000001,0.0
30.267,0.894,0.125,0.044000000000000004,0.27399999999999997,0.054000000000000006,0.49700000000000005,113.537,0.0
30.198,0.894,0.125,0.044000000000000004,0.281,0.053,0.503,113.345,0.0
29.594,0.898,0.128,0.043,0.263,0.047,0.48100000000000004,115.48100000000001,0.0
30.257,0.901,0.118,0.042,0.267,0.046,0.473,110.97,0.0
30.655,0.895,0.118,0.041,0.269,0.053,0.481,110.441,0.0
30.406,0.898,0.121,0.04,0.276,0.054,0.491,110.495,0.0
30.324,0.9,0.116,0.039,0.268,0.052,0.475,110.511,0.0
30.72,0.904,0.114,0.038,0.251,0.054,0.457,110.027,0.0
30.615,0.9,0.11,0.038,0.264,0.05,0.463,110.248,0.0
30.644,0.897,0.107,0.038,0.277,0.05,0.471,110.534,0.0
30.569,0.904,0.115,0.037,0.253,0.051,0.457,116.798,0.0
30.399,0.904,0.106,0.037,0.263,0.045,0.451,113.582,0.0
30.556,0.909,0.111,0.036,0.243,0.046,0.436,111.329,0.0
30.827,0.908,0.103,0.036,0.247,0.047,0.433,111.89,0.0
30.746,0.916,0.101,0.035,0.245,0.046,0.427,111.593,0.0
30.522,0.909,0.107,0.035,0.233,0.043,0.418,118.728,0.0
30.235,0.905,0.102,0.034,0.243,0.046,0.425,118.969,0.0
30.262,0.912,0.101,0.034,0.229,0.041,0.405,111.286,0.0
30.252,0.909,0.104,0.034,0.24,0.052,0.43,113.29,0.0
30.017,0.914,0.098,0.033,0.224,0.037,0.392,111.584,0.0
30.04,0.912,0.1,0.032,0.232,0.043,0.408,111.094,0.0
30.162,0.91,0.102,0.032,0.249,0.044,0.427,116.425,0.0
30.02,0.922,0.1,0.032,0.214,0.04,0.386,111.883,0.0
29.648,0.92,0.099,0.032,0.222,0.042,0.395,112.344,0.0
29.394,0.918,0.093,0.032,0.224,0.039,0.387,110.594,0.0
29.732,0.917,0.095,0.031,0.231,0.042,0.399,68.539,0.0
30.513,0.913,0.101,0.031,0.219,0.037,0.389,108.187,0.0
29.555,0.912,0.095,0.031,0.228,0.043,0.397,107.802,0.0
30.337,0.917,0.1,0.031,0.216,0.04,0.387,108.086,0.0
29.78,0.918,0.09,0.03,0.221,0.039,0.38,109.318,0.0
29.792,0.917,0.093,0.03,0.218,0.039,0.38,108.661,0.0
30.26,0.913,0.098,0.03,0.229,0.039,0.397,109.068,0.0
30.297,0.922,0.092,0.03,0.222,0.041,0.384,109.055,0.0
30.159,0.922,0.092,0.029,0.215,0.038,0.374,109.456,0.0
30.083,0.915,0.099,0.029,0.237,0.041,0.407,109.962,0.0
29.688,0.914,0.094,0.029,0.23,0.038,0.391,109.038,0.0
29.915,0.917,0.089,0.029,0.223,0.04,0.382,108.621,0.0
30.055,0.916,0.095,0.029,0.212,0.037,0.373,111.246,0.0
29.563,0.915,0.087,0.029,0.233,0.043,0.392,119.337,0.0
29.978,0.913,0.09,0.028,0.232,0.036,0.386,117.802,0.0
30.187,0.921,0.091,0.028,0.217,0.034,0.369,214.403,0.0
30.019,0.925,0.094,0.028,0.204,0.037,0.363,226.403,0.0
30.18,0.918,0.092,0.028,0.224,0.041,0.386,163.281,0.0
30.258,0.921,0.092,0.028,0.194,0.035,0.349,134.747,0.0
30.531,0.923,0.091,0.028,0.221,0.035,0.375,21.35,0.0
30.263,0.92,0.088,0.027,0.219,0.035,0.369,107.904,0.0
30.023,0.924,0.094,0.027,0.209,0.036,0.365,110.984,0.0
29.656,0.922,0.09,0.027,0.215,0.033,0.365,111.799,0.0
30.076,0.926,0.088,0.027,0.194,0.033,0.341,109.889,0.0
29.913,0.918,0.088,0.027,0.214,0.031,0.36,108.222,0.0
29.812,0.922,0.093,0.027,0.212,0.037,0.369,107.815,0.0
29.74,0.92,0.09,0.027,0.209,0.036,0.362,111.526,0.0
29.828,0.92,0.09,0.026,0.214,0.036,0.367,80.946,0.0
29.639,0.92,0.092,0.026,0.217,0.033,0.367,109.808,0.0
29.85,0.926,0.087,0.026,0.195,0.034,0.342,106.775,0.0
29.746,0.923,0.086,0.026,0.21,0.033,0.354,106.417,0.0
29.984,0.925,0.089,0.026,0.206,0.034,0.355,114.767,0.0
30.027,0.921,0.084,0.026,0.217,0.038,0.364,141.961,0.0
30.128,0.925,0.087,0.025,0.208,0.031,0.351,119.313,0.0
29.916,0.929,0.091,0.026,0.205,0.034,0.356,112.355,0.0
29.951,0.925,0.086,0.026,0.197,0.035,0.343,110.53,0.0
29.367,0.925,0.091,0.025,0.21,0.032,0.358,128.156,0.0
29.415,0.921,0.082,0.025,0.205,0.037,0.349,127.695,0.0
29.496,0.929,0.084,0.025,0.198,0.037,0.345,128.226,0.0
29.868,0.92,0.083,0.025,0.209,0.034,0.351,131.218,0.0
29.389,0.918,0.085,0.025,0.214,0.036,0.36,116.67,0.0
29.328,0.929,0.08,0.025,0.201,0.035,0.341,123.435,0.0
29.74,0.928,0.086,0.025,0.194,0.03,0.335,138.86,0.0
29.406,0.922,0.085,0.025,0.199,0.034,0.342,146.296,0.0
29.386,0.919,0.085,0.025,0.213,0.031,0.353,118.507,0.0
29.535,0.928,0.086,0.024,0.196,0.038,0.344,110.665,0.0
29.508,0.921,0.086,0.024,0.204,0.029,0.344,111.11,0.0
30.031,0.921,0.084,0.025,0.215,0.036,0.36,110.445,0.0
29.627,0.934,0.085,0.024,0.182,0.037,0.328,110.291,0.0
29.85,0.931,0.088,0.024,0.188,0.032,0.333,119.948,0.0
29.584,0.924,0.085,0.024,0.187,0.034,0.33,129.466,0.0
29.52,0.928,0.09,0.024,0.19,0.032,0.336,117.875,0.0
29.355,0.928,0.085,0.024,0.202,0.036,0.347,130.569,0.0
29.914,0.922,0.083,0.024,0.208,0.032,0.347,127.138,0.0
29.628,0.93,0.084,0.024,0.194,0.038,0.34,139.617,0.0
